valor	freq	frac_part	best_n	best_diff	period_len_bin	period_len_oct	period_len_dec	period_len_hex	terminante_dec	full_reptend_dec
3.12	160366	0.120000000000	8	5.000000000000e-03	0	0	0	0	1	0
0.0	148524	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
1.0	85672	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
2.0	64811	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
3.0	34538	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
4.0	32082	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
8.0	22768	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
5.0	21776	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
6.0	18133	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
7.0	17034	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
27.0	11967	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
-34.0	11868	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
10.0	8265	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
32.0	7574	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
9.0	7030	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
-1.0	6897	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
557.0	6830	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
-1949.0	6756	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
16.0	6600	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
64.0	5669	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
12.0	4829	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
20.0	4173	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
11.0	4123	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
14.0	4049	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
15.0	3718	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
42.0	3632	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
33.0	3550	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
13.0	3447	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
30.0	3438	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
256.0	3430	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
22.0	3374	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
-8.0	3324	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
25.0	3269	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
18.0	3250	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
31.0	3121	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
24.0	3115	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
17.0	3080	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
21.0	2971	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
19.0	2946	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
23.0	2919	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
28.0	2860	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
26.0	2839	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
40.0	2775	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
29.0	2712	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
34.0	2646	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
36.0	2582	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
38.0	2573	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
0.1	2572	0.100000000000	10	0.000000000000e+00	4	4	0	1	1	0
45.0	2554	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
41.0	2552	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
37.0	2539	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
39.0	2536	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
35.0	2532	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
48.0	2526	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
-0.26	2523	0.260000000000	4	1.000000000000e-02	0	0	0	0	1	0
44.0	2513	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
47.0	2436	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
43.0	2435	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
46.0	2404	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
49.0	2398	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
-2.0	2082	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
1.1	2014	0.100000000000	10	8.326672684689e-17	4	4	0	1	1	0
3.1	1765	0.100000000000	10	8.326672684689e-17	4	4	0	1	1	0
86.0	1736	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
-9.0	1649	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
3.3	1550	0.300000000000	3	3.333333333333e-02	2	2	1	1	0	0
204.0	1509	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
100.0	1353	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
-3.0	1284	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
0.5	1259	0.500000000000	2	0.000000000000e+00	0	0	0	0	1	0
2.2	1234	0.200000000000	5	1.665334536938e-16	4	4	0	1	1	0
-1.12	1147	0.120000000000	8	5.000000000000e-03	0	0	0	0	1	0
512.0	1139	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
-21.0	1135	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
0.2	1135	0.200000000000	5	0.000000000000e+00	4	4	0	1	1	0
177.0	1063	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
50.0	1060	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
1024.0	1041	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
1.2	1032	0.200000000000	5	5.551115123126e-17	4	4	0	1	1	0
-7.0	1003	0.000000000000	128	7.812500000000e-03	0	0	0	0	1	0
