den	base	label	type	pre_len	period_len	pre	period
2	10	DEC	T	1	0	5	
2	2	BIN	T	1	0	1	
2	8	OCT	T	1	0	4	
2	16	HEX	T	1	0	8	
3	10	DEC	R	0	1		3
3	2	BIN	R	0	2		01
3	8	OCT	R	0	2		25
3	16	HEX	R	0	1		5
4	10	DEC	T	2	0	25	
4	2	BIN	T	2	0	01	
4	8	OCT	T	1	0	2	
4	16	HEX	T	1	0	4	
5	10	DEC	T	1	0	2	
5	2	BIN	R	0	4		0011
5	8	OCT	R	0	4		1463
5	16	HEX	R	0	1		3
6	10	DEC	R	1	1	1	6
6	2	BIN	R	1	2	0	01
6	8	OCT	R	1	2	1	25
6	16	HEX	R	1	1	2	A
7	10	DEC	R	0	6		142857
7	2	BIN	R	0	3		001
7	8	OCT	R	0	1		1
7	16	HEX	R	0	3		249
8	10	DEC	T	3	0	125	
8	2	BIN	T	3	0	001	
8	8	OCT	T	1	0	1	
8	16	HEX	T	1	0	2	
9	10	DEC	R	0	1		1
9	2	BIN	R	0	6		000111
9	8	OCT	R	0	2		07
9	16	HEX	R	0	3		1C7
10	10	DEC	T	1	0	1	
10	2	BIN	R	1	4	0	0011
10	8	OCT	R	1	4	0	6314
10	16	HEX	R	1	1	1	9
11	10	DEC	R	0	2		09
11	2	BIN	R	0	10		0001011101
11	8	OCT	R	0	10		0564272135
11	16	HEX	R	0	5		1745D
12	10	DEC	R	2	1	08	3
12	2	BIN	R	2	2	00	01
12	8	OCT	R	1	2	0	52
12	16	HEX	R	1	1	1	5
13	10	DEC	R	0	6		076923
13	2	BIN	R	0	12		000100111011
13	8	OCT	R	0	4		0473
13	16	HEX	R	0	3		13B
14	10	DEC	R	1	6	0	714285
14	2	BIN	R	1	3	0	001
14	8	OCT	R	1	1	0	4
14	16	HEX	R	1	3	1	249
15	10	DEC	R	1	1	0	6
15	2	BIN	R	0	4		0001
15	8	OCT	R	0	4		0421
15	16	HEX	R	0	1		1
16	10	DEC	T	4	0	0625	
16	2	BIN	T	4	0	0001	
16	8	OCT	T	2	0	04	
16	16	HEX	T	1	0	1	
17	10	DEC	R	0	16		0588235294117647
17	2	BIN	R	0	8		00001111
17	8	OCT	R	0	8		03607417
17	16	HEX	R	0	2		0F
18	10	DEC	R	1	1	0	5
18	2	BIN	R	1	6	0	000111
18	8	OCT	R	1	2	0	34
18	16	HEX	R	1	3	0	E38
19	10	DEC	R	0	18		052631578947368421
19	2	BIN	R	0	18		000011010111100101
