valor	freq	aprox_pi	aprox_e	aprox_phi	aprox_sqrt2	aprox_sqrt3	aprox_phi_R
3.12	160366						
0.0	148524						
1.0	85672						
2.0	64811						
3.0	34538						
4.0	32082						
8.0	22768						
5.0	21776						
6.0	18133						
7.0	17034						
27.0	11967						
-34.0	11868						
10.0	8265						
32.0	7574						
9.0	7030						
-1.0	6897						
557.0	6830						
-1949.0	6756						
16.0	6600						
64.0	5669						
12.0	4829						
20.0	4173						
11.0	4123						
14.0	4049						
15.0	3718						
42.0	3632						
33.0	3550						
13.0	3447						
30.0	3438						
256.0	3430						
22.0	3374						
-8.0	3324						
25.0	3269						
18.0	3250						
31.0	3121						
24.0	3115						
17.0	3080						
21.0	2971						
19.0	2946						
23.0	2919						
28.0	2860						
26.0	2839						
40.0	2775						
29.0	2712						
34.0	2646						
36.0	2582						
38.0	2573						
0.1	2572						
45.0	2554						
41.0	2552						
37.0	2539						
39.0	2536						
35.0	2532						
48.0	2526						
-0.26	2523						
44.0	2513						
47.0	2436						
43.0	2435						
46.0	2404						
49.0	2398						
-2.0	2082						
1.1	2014						
3.1	1765						
86.0	1736						
-9.0	1649						
3.3	1550						
204.0	1509						
100.0	1353						
-3.0	1284						
0.5	1259						
2.2	1234						
-1.12	1147						
512.0	1139						
-21.0	1135						
0.2	1135						
177.0	1063						
50.0	1060						
1024.0	1041						
1.2	1032						
-7.0	1003						
